time,ax,ay,az,atotal
2.297,0.23,-1.81,0.19,1.83
2.316,-0.3,-6.25,-0.2,6.26
2.336,-1.28,-8.72,-0.6,8.84
2.356,-2.42,-10.73,-2.04,11.19
2.376,-3.03,-13.17,-2.58,13.76
2.396,-2.72,-13.44,-2.35,13.92
2.416,-1.05,-13.26,-2.09,13.46
2.436,0.22,-12.98,-1.23,13.04
2.456,0.64,-10.87,-0.94,10.93
2.476,1.49,-7.46,-1.61,7.78
2.496,3.1,-0.67,-3.16,4.48
2.516,-0.61,16.82,-0.08,16.83
2.537,2.21,24.92,1.7,25.07
2.556,-5.66,14.46,3.25,15.86
2.576,-5.39,18.17,4.96,19.59
2.597,-3.99,15.75,4.43,16.84
2.616,-1.97,12.71,3.55,13.34
2.636,-0.96,7.76,1.28,7.92
2.656,-0.9,1.54,0.05,1.78
2.676,-0.42,-3.78,0.21,3.81
2.696,0.55,-8.2,0.31,8.23
2.716,3.02,-10.59,-2.78,11.36
2.736,5.31,-12.1,-5.29,14.23
2.756,5.49,-14.3,-5.75,16.36
2.776,2.42,-15.89,-3.76,16.51
2.796,-0.54,-16.17,-2.71,16.4
2.816,-1.47,-13.82,-1.76,14.0
2.836,-1.74,-10.49,-1.45,10.74
2.856,-2.09,-8.42,-3.06,9.2
2.876,-2.13,-5.97,-4.37,7.7
2.896,-2.19,3.06,-5.44,6.62
2.916,-2.37,22.36,-1.45,22.53
2.936,-1.41,24.25,3.49,24.54
2.956,5.84,16.53,6.06,18.55
2.976,8.09,22.02,7.38,24.59
2.996,6.76,17.01,2.13,18.43
3.015,2.94,10.8,3.99,11.88
3.035,0.3,4.58,2.62,5.28
3.055,1.03,-0.37,-0.1,1.1
3.075,2.85,-5.68,-2.24,6.74
3.095,2.77,-8.86,-2.98,9.75
3.115,-0.44,-11.19,-4.09,11.92
3.135,-4.26,-12.45,-3.2,13.54
3.155,-7.69,-12.54,-1.62,14.79
3.175,-6.27,-13.41,-3.73,15.26
3.195,-2.09,-13.72,-3.01,14.2
3.215,0.68,-12.5,-0.15,12.52
3.235,1.48,-10.83,0.21,10.93
3.255,3.66,-8.13,-0.54,8.93
3.275,2.63,13.39,-3.52,14.1
3.295,-0.24,56.11,-1.25,56.12
3.315,-7.23,14.24,6.33,17.18
3.335,-5.39,16.0,3.21,17.18
3.355,-3.27,14.28,1.81,14.76
3.375,-1.58,6.93,2.12,7.42
3.395,-1.13,-0.13,-0.11,1.15
3.415,-2.14,-4.65,-1.9,5.46
3.435,-3.11,-8.41,-1.68,9.12
3.455,-0.17,-10.38,-6.65,12.33
3.475,2.39,-11.58,-7.04,13.76
3.495,7.34,-14.25,-1.51,16.1
3.515,5.99,-16.94,-3.3,18.27
3.535,4.44,-16.06,-3.51,17.03
3.555,0.26,-13.24,-3.02,13.58
3.575,-3.49,-9.84,-1.72,10.58
3.595,-4.51,-7.43,-1.34,8.79
3.615,-4.52,-6.54,-1.58,8.11
3.635,-4.34,-6.04,-3.23,8.1
3.655,-4.01,4.65,-7.79,9.92
3.675,-0.1,47.74,-5.08,48.01
3.695,-6.79,21.5,-4.68,23.02
3.715,12.45,18.47,5.5,22.94
3.735,15.3,18.86,3.9,24.59
3.755,8.06,12.02,1.83,14.59
3.774,1.49,8.88,1.0,9.06
3.794,-1.87,4.64,-0.21,5.01
3.814,-3.18,0.54,-0.83,3.33
3.834,-2.59,-2.44,-0.14,3.56
3.854,-1.89,-5.07,0.07,5.41
3.874,-2.07,-6.48,1.03,6.88
3.894,-1.93,-8.84,-0.95,9.1
3.914,-2.83,-13.89,-3.73,14.66
3.934,-1.8,-18.54,-5.41,19.39
3.954,1.68,-19.71,-4.24,20.23
3.974,2.86,-15.9,-3.37,16.5
3.994,2.28,-11.65,-3.43,12.36
4.013,1.43,-8.72,-3.19,9.39
4.032,0.48,-6.68,-3.39,7.51
4.053,0.7,-3.25,-4.03,5.22
4.072,-0.31,5.93,-2.52,6.45
4.093,-4.94,22.37,-1.02,22.93
4.112,0.46,20.72,-0.64,20.74
4.133,-2.9,18.18,6.72,19.6
4.152,-2.95,20.55,5.85,21.57
4.172,-1.65,15.06,4.91,15.92
4.192,-2.23,10.26,2.45,10.78
4.212,-2.2,5.7,0.85,6.17
4.232,-1.89,0.93,0.06,2.1
4.252,-2.06,-3.4,-0.73,4.04
4.272,-1.98,-7.62,-0.85,7.92
4.292,0.05,-10.34,-4.71,11.36
4.312,3.64,-11.93,-7.1,14.35
4.332,5.57,-14.25,-6.13,16.48
4.352,5.06,-17.54,-4.54,18.82
4.372,1.75,-17.84,-4.03,18.38
4.393,-0.92,-13.73,-2.5,13.99
4.413,-1.77,-10.31,-1.32,10.55
4.433,-1.74,-7.5,-0.86,7.75
4.453,-0.46,-2.44,-4.23,4.91
4.473,-1.96,8.0,-5.59,9.95
4.494,-4.31,21.63,0.34,22.06
4.514,-6.62,16.39,-1.55,17.75
4.534,4.91,14.99,3.04,16.07
4.554,8.17,20.7,6.25,23.11
4.574,8.14,17.66,3.7,19.79
4.593,5.13,12.31,2.16,13.51
4.613,1.64,8.25,2.11,8.67
4.633,-0.47,3.55,1.11,3.75
4.653,0.14,-0.72,-0.25,0.77
4.673,0.61,-4.75,-1.46,5.0
4.693,-0.2,-7.41,-1.75,7.62
4.713,-2.21,-9.95,-2.86,10.58
4.733,-5.06,-12.95,-3.84,14.42
4.753,-5.74,-15.7,-4.2,17.24
4.773,-3.95,-17.28,-5.29,18.5
4.793,-1.19,-17.5,-4.38,18.08
4.813,0.62,-13.53,-2.48,13.77
4.833,1.4,-10.26,-1.71,10.5
4.853,1.48,-8.13,-2.54,8.64
4.873,3.14,-3.71,-2.9,5.66
4.893,3.99,18.94,-1.17,19.4
4.913,-1.09,41.82,-2.62,41.91
4.933,-8.5,13.88,6.91,17.68
4.953,-9.45,18.36,5.78,21.45
4.972,-5.04,16.58,6.32,18.45
4.992,-1.47,11.75,2.4,12.08
5.012,-0.35,6.47,-0.55,6.51
5.033,0.41,0.95,-0.21,1.05
5.052,0.09,-3.49,0.77,3.58
5.072,0.02,-6.77,-0.46,6.79
5.092,0.45,-9.02,-3.46,9.67
5.112,1.5,-10.42,-6.41,12.33
5.132,3.35,-11.95,-7.06,14.28
5.152,4.81,-15.03,-5.21,16.62
5.172,1.99,-18.96,-6.07,20.01
5.192,-1.46,-18.82,-5.07,19.55
5.212,-2.68,-13.68,-3.4,14.35
5.232,-3.24,-9.46,-1.97,10.19
5.252,-3.24,-7.41,-3.62,8.86
5.272,-1.15,0.44,-3.07,3.31
5.292,-4.27,24.74,-5.41,25.68
5.313,-6.53,29.66,-1.3,30.4
5.332,6.36,10.21,5.21,13.1
5.352,11.41,17.51,6.58,21.91
5.372,11.83,18.5,2.58,22.11
5.392,5.25,14.47,2.48,15.59
5.412,1.39,10.97,0.88,11.1
5.432,-2.0,6.21,0.36,6.54
5.452,-3.29,2.52,0.41,4.16
5.472,-1.53,-0.9,0.96,2.02
5.492,0.04,-4.05,-0.6,4.09
5.512,0.75,-6.28,-1.73,6.56
5.532,-0.2,-9.86,-3.25,10.39
5.552,-2.87,-14.43,-4.88,15.5
5.572,-4.75,-17.3,-5.09,18.65
5.592,-3.91,-18.91,-4.5,19.83
5.612,-2.26,-16.56,-4.08,17.21
5.631,-1.52,-12.68,-3.09,13.14
5.651,-1.54,-9.66,-3.04,10.25
5.671,-0.18,-6.61,-1.81,6.86
5.691,1.27,0.69,0.8,1.65
5.712,5.44,33.88,0.15,34.32
5.732,-5.73,32.96,-3.81,33.67
5.752,-4.88,16.39,10.54,20.08
5.772,-4.17,16.85,7.87,19.06
5.792,-2.58,14.39,2.53,14.84
5.811,-2.21,7.43,-1.14,7.83
5.831,-1.82,1.45,-0.36,2.36
5.851,-2.3,-3.92,-0.25,4.55
5.871,-2.02,-7.92,-0.94,8.23
5.891,0.29,-10.02,-4.17,10.86
5.911,2.93,-11.18,-6.95,13.49
5.931,5.7,-12.9,-5.56,15.16
5.951,4.44,-15.35,-4.85,16.7
5.971,1.71,-16.63,-5.1,17.48
5.991,-1.95,-15.37,-4.5,16.13
6.011,-3.23,-12.27,-3.09,13.06
6.031,-4.3,-9.64,-2.84,10.93
6.051,-4.29,-7.69,-4.71,9.99
6.071,-1.19,-2.85,-2.91,4.24
6.091,0.75,14.57,-1.8,14.7
6.111,-2.94,35.28,-1.45,35.44
6.131,7.37,17.62,4.84,19.7
6.151,12.06,20.36,6.27,24.48
6.171,6.79,19.68,3.72,21.15
6.191,2.36,14.42,1.97,14.74
6.211,0.09,8.18,0.39,8.19
6.231,-1.68,3.6,0.05,3.97
6.251,-0.76,-0.4,0.77,1.16
6.271,0.1,-4.68,0.65,4.73
6.29,-0.07,-7.42,-0.29,7.43
6.31,-0.6,-9.2,-2.96,9.69
6.33,-2.28,-12.11,-3.63,12.85
6.35,-3.68,-15.28,-3.17,16.04
6.37,-2.87,-16.48,-3.33,17.05
6.39,-0.64,-15.34,-3.87,15.84
6.41,0.47,-13.31,-3.76,13.83
6.43,0.2,-11.04,-2.37,11.29
6.45,0.21,-9.53,-2.11,9.76
6.47,2.13,-8.14,-1.88,8.62
6.49,2.33,-0.29,-1.61,2.85
6.51,5.06,40.76,-1.33,41.09
6.53,-8.02,27.71,-1.13,28.87
6.55,-6.26,17.85,10.72,21.74
6.571,-2.87,16.63,5.25,17.67
6.59,-0.55,12.47,0.97,12.52
6.61,-0.14,5.7,-0.12,5.71
6.63,-0.71,-0.06,0.5,0.87
6.65,-1.9,-4.47,0.38,4.87
6.67,-1.5,-7.7,-1.13,7.93
6.69,0.24,-9.66,-4.96,10.86
6.71,2.16,-10.94,-5.9,12.61
6.73,5.23,-12.19,-4.49,14.0
6.75,5.07,-15.21,-5.88,17.08
6.77,2.13,-18.93,-5.54,19.84
6.79,-1.01,-16.66,-3.43,17.04
6.81,-2.89,-12.71,-2.0,13.19
6.83,-3.39,-10.0,-2.71,10.9
6.85,-3.61,-8.22,-2.9,9.43
6.87,-0.2,3.45,-4.96,6.05
6.89,-2.02,54.65,-5.06,54.92
6.91,-3.52,23.67,1.01,23.95
6.93,14.15,16.46,10.32,24.03
6.95,12.34,19.94,3.09,23.65
6.97,5.6,14.39,0.47,15.45
6.99,1.39,7.46,1.74,7.79
7.009,-1.01,1.27,-0.04,1.62
7.029,-1.26,-3.26,-1.02,3.64
7.049,0.09,-6.49,-2.77,7.05
7.069,0.85,-7.85,-3.51,8.65
7.089,-0.4,-9.59,-3.6,10.25
7.109,-3.24,-11.8,-2.15,12.43
7.129,-5.18,-13.92,-2.41,15.05
7.149,-3.78,-15.66,-3.73,16.53
7.169,-0.52,-17.06,-3.3,17.38
7.189,0.26,-14.48,-2.23,14.65
7.209,0.44,-10.85,-2.42,11.12
7.229,0.76,-8.41,-4.09,9.38
7.249,1.97,-7.05,-4.8,8.75
7.269,4.41,2.88,-4.37,6.85
7.289,5.12,38.52,-2.68,38.95
7.309,-7.24,28.46,0.91,29.38
7.329,-5.72,17.37,11.36,21.52
7.349,-6.25,17.72,6.62,19.93
7.369,-2.24,13.17,1.32,13.43
7.389,-1.21,6.63,0.11,6.74
7.409,-0.37,0.99,-0.03,1.06
7.429,-0.8,-3.71,-0.38,3.82
7.449,-1.85,-7.59,-1.19,7.9
7.469,-0.62,-9.54,-4.73,10.67
7.489,0.0,-10.94,-7.16,13.08
7.509,3.44,-12.35,-5.17,13.83
7.529,6.22,-15.99,-3.59,17.53
7.548,3.58,-19.07,-6.08,20.33
7.569,0.12,-16.4,-5.16,17.2
7.589,-2.32,-11.62,-3.24,12.29
7.608,-3.31,-8.67,-2.59,9.64
7.629,-3.43,-7.03,-3.88,8.73
7.648,-2.08,-2.77,-2.12,4.06
7.668,0.06,23.17,1.12,23.2
7.689,-7.63,51.38,-6.78,52.39
7.709,11.09,16.11,7.24,20.86
7.728,15.33,18.41,8.07,25.28
7.748,6.68,15.38,1.52,16.84
7.768,1.52,10.25,1.07,10.41
7.788,-1.61,4.1,0.82,4.48
7.808,-2.0,-0.86,-0.51,2.23
