time,ax,ay,az,atotal
3.036,-0.29,-0.69,0.74,1.05
3.055,-0.07,-0.32,0.96,1.01
3.075,-0.01,0.14,0.83,0.84
3.095,-0.14,0.18,0.25,0.34
3.115,-0.71,-0.26,0.57,0.94
3.135,-0.86,-0.57,0.71,1.26
3.155,-0.86,-0.13,0.51,1.01
3.175,-0.97,0.25,0.39,1.08
3.195,-0.94,0.56,0.2,1.11
3.215,-1.04,0.83,0.16,1.34
3.235,-1.25,0.88,0.09,1.53
3.255,-0.93,0.8,0.08,1.23
3.275,-0.71,0.67,-0.16,0.99
3.295,-0.46,1.03,-0.52,1.24
3.315,-0.47,1.33,-0.72,1.59
3.335,-0.67,1.17,-0.52,1.45
3.355,-0.77,0.64,-0.46,1.1
3.375,-0.52,0.29,-0.36,0.69
3.395,-0.04,0.19,-0.65,0.68
3.415,0.18,0.13,-0.72,0.75
3.435,0.58,0.07,-0.78,0.98
3.455,0.72,0.14,-0.74,1.04
3.475,0.57,0.47,-0.6,0.95
3.495,0.3,0.51,-0.61,0.86
3.515,0.37,0.41,-0.78,0.96
3.535,0.12,0.1,-0.47,0.5
3.555,-0.01,0.38,-0.66,0.76
3.575,0.34,0.7,-0.69,1.05
3.595,0.62,0.31,-0.77,1.03
3.615,1.19,-0.47,-0.43,1.35
3.635,2.03,-0.49,-0.18,2.09
3.655,1.65,0.02,0.04,1.65
3.675,0.72,-0.35,-0.12,0.81
3.695,0.08,-0.86,0.3,0.92
3.714,0.26,-0.69,0.2,0.77
3.734,-0.01,-0.54,-0.22,0.59
3.754,-0.65,-0.04,-0.2,0.68
3.774,-1.25,0.3,0.7,1.47
3.794,-1.86,0.93,0.71,2.2
3.814,-2.09,1.41,0.38,2.55
3.834,-1.74,1.01,0.4,2.05
3.854,-1.56,-0.2,0.36,1.62
3.874,-1.7,-0.88,0.13,1.92
3.894,-2.02,-0.95,0.28,2.25
3.914,-1.86,-0.44,0.35,1.94
3.934,-1.18,0.49,0.49,1.36
3.954,-0.42,0.38,1.17,1.29
3.974,-0.05,-0.19,1.28,1.29
3.994,-0.06,-0.51,1.75,1.82
4.014,0.08,-0.47,1.68,1.75
4.034,1.01,0.31,2.43,2.65
4.054,2.48,1.57,1.78,3.44
4.074,3.51,1.34,1.71,4.13
4.094,3.0,-0.16,1.08,3.19
4.114,2.2,-1.28,-1.1,2.77
4.134,1.09,-1.89,-2.57,3.38
4.154,-0.38,-1.64,-3.78,4.14
4.174,-1.37,-0.53,-4.21,4.45
4.194,-2.08,-0.23,-2.98,3.64
4.214,-3.0,-0.52,-3.77,4.85
4.234,-2.83,-1.1,-3.78,4.85
4.254,-1.33,-1.47,-3.31,3.86
4.274,1.01,-1.22,-1.87,2.45
4.294,2.29,-1.08,-0.13,2.54
4.313,2.24,-0.79,1.52,2.82
4.333,1.72,0.06,1.52,2.29
4.353,0.41,0.65,2.14,2.28
4.374,-0.29,0.33,3.88,3.91
4.394,0.31,0.81,3.4,3.51
4.413,-0.28,1.73,2.41,2.98
4.433,-0.67,2.21,0.25,2.32
4.453,-1.22,1.29,-0.11,1.77
4.473,-1.17,0.14,-0.08,1.18
4.493,-1.07,0.33,-1.47,1.85
4.513,-0.96,0.63,-2.53,2.78
4.533,-1.02,0.43,-2.45,2.69
4.553,-0.35,-0.17,-0.81,0.9
4.573,0.8,0.66,-1.16,1.56
4.593,0.82,1.77,-0.75,2.09
4.613,0.63,1.16,0.64,1.47
4.633,1.01,0.57,0.41,1.23
4.653,0.69,1.39,0.51,1.63
4.673,-0.0,1.3,0.84,1.55
4.693,-0.1,0.51,0.86,1.01
4.713,0.0,0.41,-0.35,0.53
4.733,-0.28,0.23,-0.36,0.51
4.753,-0.47,-0.59,-0.06,0.76
4.773,-0.57,-1.41,0.22,1.54
4.793,-0.49,-1.63,-0.17,1.71
4.813,-1.14,-0.66,-0.86,1.57
4.833,-1.5,0.07,-0.13,1.51
4.853,-0.84,-0.83,1.25,1.72
4.873,0.21,-1.17,1.06,1.59
4.893,0.72,-0.67,-0.29,1.02
4.913,1.06,-0.21,-0.45,1.17
4.933,1.18,-1.0,0.76,1.72
4.953,0.86,-0.92,0.64,1.41
4.973,-0.26,-0.15,0.64,0.71
4.992,-0.29,-0.58,1.18,1.34
5.012,0.1,-1.19,-0.33,1.24
5.033,-0.51,-0.62,-0.88,1.2
5.052,-1.14,-0.28,0.14,1.18
5.072,-1.15,-0.71,1.35,1.91
5.092,-0.01,-1.31,1.93,2.33
5.112,1.01,-0.68,1.07,1.62
5.132,1.83,1.63,-0.81,2.58
5.152,0.91,3.6,-1.89,4.17
5.172,0.01,3.42,-1.88,3.9
5.192,-0.15,1.48,-1.63,2.21
5.212,-0.21,0.1,-2.03,2.05
5.232,-0.12,-0.12,-1.86,1.86
5.252,-0.48,-0.44,-0.83,1.05
5.272,-0.18,-0.81,-0.3,0.88
5.292,0.61,-0.42,-0.0,0.75
5.312,0.92,-0.06,1.46,1.73
5.332,0.84,0.45,2.39,2.57
5.352,1.04,1.34,1.17,2.06
5.372,0.82,1.97,1.66,2.7
5.392,0.57,2.02,1.35,2.5
5.412,0.13,2.21,-0.13,2.22
5.432,-0.46,2.32,-0.03,2.36
5.452,-0.97,1.53,0.95,2.04
5.472,-0.19,0.43,-0.13,0.49
5.492,-0.08,-0.08,-2.05,2.06
5.512,0.18,-0.45,-3.02,3.06
5.532,-0.38,-0.53,-2.9,2.97
5.552,-1.16,-1.17,-3.4,3.78
5.572,-0.98,-1.59,-3.43,3.9
5.592,-0.87,-0.94,-3.27,3.51
5.611,-0.55,-0.06,-3.9,3.94
5.632,-0.87,0.28,-3.24,3.36
5.652,-1.57,-0.47,-1.91,2.52
5.671,-1.27,-1.12,-0.76,1.86
5.691,-0.94,-1.18,0.03,1.51
5.711,-2.12,-0.72,0.84,2.39
5.731,-2.32,0.65,3.02,3.86
5.751,-0.61,2.29,3.92,4.58
5.771,1.49,2.93,3.92,5.12
5.791,2.49,2.07,2.92,4.36
5.811,2.27,1.32,1.61,3.08
5.831,1.36,0.03,0.9,1.63
5.851,0.71,-0.95,-0.34,1.24
5.871,0.75,-1.09,-0.93,1.62
5.891,0.34,-1.35,-1.24,1.86
5.911,-0.39,-1.69,-1.39,2.22
5.931,-0.93,-1.0,-1.04,1.72
5.951,-0.9,-0.04,-0.31,0.96
5.971,-0.86,0.82,0.15,1.19
5.991,-0.69,1.9,0.24,2.04
6.011,-0.49,2.77,0.31,2.83
6.031,-0.22,2.67,0.49,2.72
6.051,0.07,1.51,0.56,1.61
6.071,0.44,-0.05,0.32,0.54
6.091,0.65,-1.19,-0.09,1.36
6.111,0.53,-1.66,-0.41,1.79
6.131,0.47,-1.72,-0.51,1.86
6.151,0.49,-1.21,-0.47,1.38
6.171,0.44,-0.45,-0.23,0.67
6.191,0.47,0.13,0.15,0.51
6.211,0.61,0.79,0.3,1.04
6.231,0.39,1.4,0.02,1.45
6.251,-0.14,1.28,-0.12,1.29
6.271,-0.58,0.56,0.28,0.85
6.291,-0.59,-0.14,0.38,0.72
6.31,-0.34,-0.05,-0.36,0.5
6.33,-0.3,0.14,-0.77,0.84
6.35,-0.32,0.07,-0.36,0.49
6.37,-0.17,-0.23,0.12,0.31
6.39,-0.13,-0.21,-0.04,0.24
6.41,-0.28,-0.4,0.12,0.5
6.43,-0.44,-0.63,-0.02,0.77
6.45,-0.45,-0.54,-0.24,0.75
6.47,-0.36,-0.27,-0.2,0.49
6.49,-0.15,-0.1,-0.02,0.18
6.51,0.05,0.12,0.19,0.23
6.53,0.15,0.23,0.33,0.43
6.55,0.23,0.32,0.09,0.4
6.57,0.21,0.43,0.03,0.48
6.59,0.2,0.43,-0.07,0.48
6.61,0.19,0.75,-0.42,0.88
6.63,0.15,0.97,-0.56,1.13
6.65,-0.05,0.68,-0.35,0.76
6.67,-0.03,0.25,-0.25,0.35
6.69,-0.0,-0.06,0.17,0.18
6.71,0.03,-0.28,0.31,0.42
6.73,0.04,-0.22,0.05,0.23
6.75,-0.05,-0.13,-0.16,0.21
6.77,-0.17,-0.04,-0.16,0.23
6.79,-0.17,0.1,-0.19,0.28
6.81,-0.13,0.22,-0.12,0.28
6.83,-0.1,0.22,0.06,0.25
6.85,-0.03,0.17,0.13,0.22
6.87,-0.01,0.16,-0.01,0.16
6.89,-0.0,0.12,-0.07,0.13
6.909,-0.01,0.05,-0.15,0.16
6.93,0.07,0.02,-0.21,0.22
6.949,0.16,0.09,-0.24,0.3
6.97,0.14,0.18,-0.08,0.24
6.989,-0.02,0.21,0.01,0.21
7.009,-0.12,0.18,-0.02,0.22
7.029,-0.13,0.17,-0.1,0.24
7.049,-0.07,0.15,-0.09,0.19
7.069,-0.01,0.11,-0.01,0.12
7.089,0.02,0.1,-0.09,0.13
7.109,0.03,0.12,-0.19,0.22
7.129,-0.01,0.03,-0.18,0.18
7.149,-0.02,-0.09,-0.15,0.18
7.169,-0.06,-0.11,-0.12,0.17
7.189,-0.11,-0.06,-0.09,0.15
7.209,-0.15,0.01,-0.04,0.16
7.229,-0.21,0.06,-0.06,0.23
7.249,-0.2,0.08,-0.12,0.25
7.269,-0.09,0.13,-0.17,0.23
7.289,-0.0,0.19,-0.21,0.28
7.309,0.03,0.14,-0.08,0.16
7.329,0.08,0.07,-0.1,0.14
7.349,0.12,0.11,-0.17,0.23
7.369,0.06,0.04,-0.12,0.15
7.389,-0.01,0.03,-0.08,0.09
7.409,-0.03,0.05,0.01,0.06
7.429,-0.01,0.16,-0.03,0.16
7.449,-0.03,0.16,-0.1,0.2
7.469,-0.04,0.07,-0.18,0.19
7.489,-0.03,-0.01,-0.22,0.22
7.509,-0.0,-0.06,-0.16,0.17
7.529,0.0,-0.04,-0.05,0.06
7.549,-0.01,0.01,0.03,0.03
7.568,0.0,0.06,0.04,0.07
7.589,0.02,0.09,-0.05,0.1
7.609,0.0,0.12,-0.19,0.22
7.628,-0.04,0.08,-0.13,0.16
7.648,-0.08,0.01,-0.07,0.11
7.668,-0.06,0.02,-0.1,0.12
7.688,-0.04,0.06,-0.03,0.08
7.708,-0.02,0.07,-0.03,0.07
7.728,0.01,0.09,-0.08,0.11
7.748,0.03,0.1,-0.1,0.14
7.768,0.02,0.09,-0.1,0.14
7.789,0.02,0.04,-0.11,0.12
7.808,-0.02,0.02,-0.09,0.09
7.828,-0.04,-0.01,-0.02,0.05
7.848,-0.04,-0.01,-0.04,0.06
7.868,-0.01,0.04,-0.07,0.08
7.888,-0.01,0.05,-0.07,0.08
7.908,-0.04,0.04,-0.07,0.09
7.928,-0.04,0.03,-0.1,0.11
7.948,-0.05,0.03,-0.08,0.1
7.968,-0.07,0.02,-0.04,0.08
7.988,-0.04,0.05,-0.03,0.07
8.008,-0.02,0.08,-0.01,0.09
8.028,0.01,0.12,-0.05,0.13
8.048,0.09,0.09,-0.05,0.14
8.068,0.13,0.04,-0.16,0.21
8.088,0.09,-0.02,-0.04,0.1
8.108,0.02,-0.05,-0.18,0.19
8.128,-0.04,-0.03,-0.22,0.22
8.148,-0.05,-0.05,-0.02,0.07
8.168,-0.04,0.05,-0.05,0.08
8.188,-0.05,0.14,-0.08,0.17
8.208,-0.02,0.17,-0.09,0.19
8.228,0.01,0.09,-0.1,0.13
8.248,-0.01,-0.02,-0.12,0.12
8.267,-0.06,-0.08,-0.13,0.17
8.287,-0.03,-0.06,-0.13,0.14
8.307,0.01,0.02,-0.09,0.09
8.327,-0.02,0.03,-0.07,0.08
8.347,-0.05,0.02,-0.07,0.09
8.367,-0.04,0.02,0.0,0.04
8.387,-0.0,0.07,-0.07,0.1
8.407,0.03,0.11,-0.06,0.13
8.427,0.06,0.07,-0.02,0.09
8.447,0.03,0.01,-0.02,0.04
8.467,0.0,0.02,-0.06,0.06
8.487,-0.03,0.01,-0.06,0.06
8.507,-0.02,-0.03,-0.04,0.06
8.527,-0.05,-0.02,-0.11,0.12
8.547,-0.03,0.0,-0.13,0.13
8.567,0.04,0.01,-0.1,0.11
8.587,0.1,0.06,-0.1,0.15
8.607,0.11,0.09,-0.16,0.22
8.627,0.07,0.08,-0.15,0.18
8.647,-0.0,0.03,-0.06,0.07
8.667,-0.06,-0.0,-0.01,0.07
8.687,-0.1,0.02,-0.08,0.13
8.707,-0.08,0.01,-0.1,0.13
8.727,-0.04,-0.0,-0.08,0.09
8.747,-0.03,0.02,-0.17,0.17
8.767,0.01,0.06,-0.19,0.2
8.787,-0.02,-0.0,-0.08,0.08
8.807,-0.02,-0.06,0.09,0.11
8.827,0.02,-0.01,-0.0,0.02
8.847,0.0,0.05,-0.04,0.07
8.866,-0.01,0.03,-0.15,0.16
8.886,-0.03,-0.0,-0.19,0.19
8.907,-0.03,-0.04,-0.0,0.05
8.926,-0.02,0.04,0.01,0.04
8.947,-0.03,0.08,-0.01,0.09
8.966,0.03,0.08,-0.1,0.13
8.986,0.03,0.05,-0.15,0.16
9.006,0.01,0.01,-0.17,0.17
9.026,-0.05,-0.03,-0.1,0.12
9.046,-0.06,-0.08,0.03,0.11
9.066,0.0,-0.06,0.02,0.06
9.086,0.0,-0.0,-0.1,0.1
9.106,-0.04,0.01,-0.13,0.14
9.126,-0.03,-0.01,-0.1,0.1
9.146,-0.0,0.04,-0.13,0.14
9.166,0.0,0.08,-0.15,0.16
9.186,0.02,0.05,-0.04,0.07
9.206,0.03,0.02,-0.01,0.04
9.226,0.07,0.05,-0.04,0.1
9.246,0.05,0.05,-0.07,0.1
9.266,0.02,0.01,-0.07,0.08
9.286,0.02,0.0,-0.09,0.09
9.306,0.01,-0.01,-0.1,0.1
9.326,-0.05,-0.02,-0.15,0.16
9.346,-0.07,-0.05,-0.13,0.15
9.366,-0.07,-0.06,-0.08,0.12
9.386,-0.04,-0.04,-0.02,0.06
9.406,-0.05,0.01,-0.02,0.05
9.426,-0.07,0.05,-0.08,0.12
9.446,-0.06,0.07,-0.13,0.16
9.466,-0.03,0.04,-0.11,0.12
9.486,0.04,0.03,-0.11,0.12
9.506,0.07,0.04,-0.11,0.13
9.526,0.07,0.02,-0.09,0.12
9.545,0.06,-0.01,-0.06,0.08
9.566,0.02,0.01,-0.08,0.08
9.585,-0.02,0.02,-0.09,0.09
9.605,-0.02,0.0,-0.02,0.03
9.625,-0.02,0.04,-0.22,0.22
9.645,-0.01,0.0,-0.19,0.19
9.665,-0.03,-0.08,-0.15,0.18
9.685,-0.04,-0.12,-0.05,0.14
9.705,-0.01,-0.03,0.06,0.07
9.725,0.0,0.13,0.05,0.14
9.745,0.01,0.16,-0.11,0.19
9.765,-0.04,0.1,-0.17,0.21
9.785,-0.03,-0.05,-0.12,0.13
9.805,-0.01,-0.1,-0.09,0.14
9.825,0.01,-0.08,-0.06,0.1
9.845,0.0,-0.05,-0.06,0.07
9.865,0.01,-0.03,-0.11,0.11
9.885,-0.01,0.02,-0.19,0.19
9.905,-0.04,0.04,-0.17,0.18
9.925,-0.06,0.02,-0.13,0.14
9.945,-0.04,0.04,-0.14,0.15
9.965,0.01,0.06,-0.12,0.14
9.985,0.02,0.0,-0.03,0.03
10.005,0.06,0.01,-0.0,0.07
10.025,0.07,0.07,0.01,0.11
10.045,0.02,0.06,-0.0,0.07
10.065,-0.01,0.03,-0.04,0.05
10.085,0.01,-0.02,-0.05,0.06
10.105,0.02,-0.06,-0.09,0.11
10.125,0.02,-0.08,-0.14,0.16
10.145,-0.0,-0.1,-0.17,0.2
10.165,-0.04,-0.09,-0.15,0.18
10.184,-0.07,-0.02,-0.09,0.11
10.204,-0.07,0.03,-0.08,0.11
10.224,-0.05,0.08,-0.08,0.12
10.245,-0.04,0.1,-0.09,0.14
10.264,0.01,0.08,-0.11,0.14
10.284,0.03,0.02,-0.1,0.11
10.304,0.02,-0.01,-0.08,0.09
10.324,0.04,-0.0,-0.08,0.09
10.344,0.01,-0.02,-0.1,0.1
10.364,-0.01,-0.03,-0.06,0.06
10.384,0.0,-0.06,-0.03,0.06
10.404,-0.02,0.0,-0.16,0.16
10.424,-0.02,-0.02,-0.16,0.16
10.444,-0.04,-0.05,-0.15,0.16
10.464,-0.08,-0.07,-0.05,0.12
10.484,-0.05,-0.0,0.01,0.05
10.504,-0.03,0.12,-0.01,0.12
10.524,0.0,0.13,-0.13,0.19
10.544,0.0,0.1,-0.23,0.25
10.564,0.03,-0.01,-0.18,0.18
10.584,0.01,-0.11,-0.04,0.12
10.604,0.02,-0.13,0.04,0.14
10.624,0.03,-0.05,-0.01,0.06
10.644,0.03,0.03,-0.12,0.12
10.664,-0.03,0.03,-0.14,0.15
10.684,-0.03,0.02,-0.1,0.11
10.704,-0.03,0.03,-0.05,0.06
10.724,-0.02,0.04,-0.14,0.14
10.744,-0.0,0.05,-0.14,0.15
10.764,0.0,-0.01,-0.06,0.06
10.783,0.02,-0.04,-0.02,0.05
