time,ax,ay,az,atotal
1.897,0.42,-0.1,-0.63,0.76
1.917,0.57,-0.66,-0.86,1.22
1.937,0.27,-1.09,-1.33,1.74
1.957,0.69,-1.06,-1.6,2.04
1.977,0.79,-1.4,-1.54,2.22
1.997,0.17,-1.12,-1.45,1.84
2.017,-0.42,-0.48,-1.37,1.51
2.037,-0.63,-0.62,-1.02,1.35
2.057,-0.27,-1.31,-0.81,1.56
2.077,-0.36,-1.45,-0.49,1.57
2.097,-0.72,-1.04,0.12,1.27
2.117,-0.65,-0.23,0.26,0.74
2.137,-0.54,0.23,0.15,0.6
2.157,0.37,0.32,0.3,0.57
2.177,0.53,0.28,0.15,0.62
2.197,0.7,0.05,0.47,0.85
2.217,1.02,-0.21,0.12,1.05
2.237,1.32,0.21,-0.31,1.37
2.257,0.92,0.68,-0.14,1.15
2.276,0.27,0.74,0.08,0.79
2.297,-0.31,0.37,0.3,0.57
2.316,-0.58,-0.38,-0.25,0.74
2.336,-0.0,-0.49,-0.35,0.6
2.357,-0.46,-0.74,-0.37,0.95
2.376,-0.77,0.2,-0.13,0.81
2.397,-0.99,1.01,0.21,1.43
2.416,-1.71,0.9,0.33,1.96
2.436,-2.1,0.28,0.17,2.12
2.456,-1.09,0.08,0.34,1.14
2.476,-0.62,-0.21,-0.39,0.76
2.496,-1.74,-0.3,-0.46,1.82
2.516,-1.71,-0.16,0.46,1.78
2.536,0.07,0.68,0.56,0.89
2.556,-0.11,0.93,0.65,1.14
2.576,0.7,-0.05,0.27,0.75
2.596,0.56,-0.94,-0.04,1.1
2.616,0.21,-0.62,0.18,0.68
2.636,0.71,0.04,0.31,0.77
2.656,1.55,0.75,-0.17,1.73
2.676,0.74,1.06,-0.9,1.58
2.696,-0.35,0.87,-0.46,1.04
2.716,-0.84,0.5,-0.02,0.97
2.736,-0.5,-0.01,0.26,0.56
2.756,0.41,-0.74,0.03,0.84
2.776,1.03,-1.4,-0.69,1.87
2.796,1.15,-0.83,-0.64,1.56
2.816,1.0,-0.06,-1.27,1.62
2.836,1.11,0.48,-0.87,1.49
2.856,0.08,0.37,-0.41,0.56
2.876,0.28,0.15,0.46,0.56
2.896,1.61,0.26,0.33,1.66
2.916,0.97,0.09,-1.22,1.57
2.936,-0.27,-0.03,-1.18,1.21
2.956,0.02,0.1,-0.68,0.69
2.976,-0.79,-0.36,-0.08,0.87
2.996,-1.4,-0.94,0.51,1.76
3.015,-0.51,-1.46,0.98,1.83
3.036,0.59,-0.92,0.56,1.23
3.056,0.45,0.93,0.06,1.04
3.075,0.06,1.75,-0.03,1.75
3.095,-0.25,0.9,-0.17,0.95
3.115,-0.41,-0.83,0.15,0.94
3.135,-0.04,-0.93,0.17,0.95
3.155,0.23,-0.18,-0.25,0.38
3.175,-1.15,0.2,-0.1,1.17
3.195,-1.58,-0.54,-0.04,1.67
3.215,-1.44,-1.08,0.32,1.83
3.235,-1.4,-0.02,-0.09,1.4
3.255,-1.06,1.0,0.09,1.46
3.275,0.32,0.97,0.33,1.07
3.295,-0.28,0.77,-0.08,0.82
3.315,-0.72,-0.23,-0.01,0.76
3.335,0.29,-0.58,0.23,0.69
3.355,-0.05,-0.65,-0.0,0.65
