time,ax,ay,az,atotal
1.877,0.01,-0.04,-0.09,0.1
1.897,-0.08,0.03,-0.04,0.09
1.917,-0.05,-0.01,-0.12,0.13
1.937,0.03,-0.08,-0.03,0.09
1.957,0.03,-0.13,-0.1,0.16
1.977,0.08,-0.09,-0.15,0.19
1.997,0.08,-0.03,-0.1,0.14
2.017,0.01,-0.06,-0.06,0.08
2.036,-0.06,-0.03,-0.01,0.06
2.057,-0.04,-0.05,-0.07,0.09
2.077,-0.03,-0.06,-0.11,0.13
2.096,-0.0,-0.06,-0.11,0.13
2.116,0.02,-0.08,-0.03,0.09
2.136,0.03,-0.02,-0.01,0.04
2.156,0.03,0.05,0.02,0.06
2.176,0.01,0.06,0.01,0.06
2.196,0.05,-0.03,-0.02,0.06
2.216,0.02,-0.08,0.0,0.08
2.236,0.01,-0.04,-0.02,0.05
2.256,0.02,0.03,0.03,0.05
2.276,-0.01,0.05,0.1,0.11
2.296,-0.05,0.03,0.09,0.1
2.316,-0.05,0.0,0.04,0.06
2.336,-0.03,-0.0,0.03,0.04
2.356,-0.03,0.04,0.03,0.06
2.376,0.02,0.05,0.04,0.07
2.396,-0.24,0.1,0.36,0.44
2.416,0.24,-0.09,-0.18,0.31
2.436,0.11,0.01,-0.03,0.11
2.456,0.07,0.06,0.08,0.12
2.476,-0.04,0.03,0.03,0.06
2.496,-0.01,0.01,-0.01,0.02
2.516,0.01,-0.11,-0.01,0.11
2.536,0.03,-0.06,0.06,0.09
2.556,0.05,0.02,0.05,0.07
2.576,0.02,-0.02,-0.04,0.05
2.596,0.02,-0.01,0.1,0.1
2.616,-0.02,-0.06,0.08,0.1
2.636,0.01,-0.02,0.02,0.03
2.656,0.04,-0.02,0.01,0.05
2.675,-0.02,-0.05,0.06,0.08
2.695,-0.09,-0.01,0.09,0.13
2.715,-0.1,0.02,0.07,0.12
2.735,-0.05,-0.07,0.08,0.12
2.755,0.0,-0.12,0.04,0.12
2.775,-0.01,-0.09,0.02,0.09
2.795,0.02,0.03,0.07,0.08
2.815,0.05,0.05,0.08,0.11
2.835,0.04,0.01,0.1,0.11
2.855,0.01,0.04,0.08,0.09
2.875,0.0,0.02,0.03,0.03
2.895,0.0,-0.01,0.03,0.03
2.915,0.01,-0.03,0.05,0.05
2.935,-0.03,0.01,0.01,0.03
2.955,-0.08,0.04,0.01,0.09
2.975,-0.06,0.01,0.03,0.07
2.995,-0.01,0.03,0.05,0.06
3.015,0.01,0.03,0.03,0.05
3.035,0.0,0.02,0.01,0.03
3.055,-0.02,-0.0,0.01,0.02
3.075,-0.01,0.03,0.04,0.05
3.095,0.0,0.06,0.04,0.07
3.115,0.0,0.1,0.04,0.1
3.135,-0.02,-0.02,-0.03,0.05
3.155,-0.03,-0.11,-0.03,0.12
3.175,-0.02,-0.09,-0.03,0.09
3.195,0.03,-0.04,-0.05,0.08
3.215,0.08,0.01,0.02,0.08
3.235,0.02,-0.01,0.06,0.06
3.255,-0.04,0.01,-0.07,0.08
