time,ax,ay,az,atotal
1.997,-0.11,-0.42,1.09,1.17
2.017,-0.41,-0.1,1.11,1.19
2.037,-0.9,0.29,1.56,1.83
2.057,-0.83,0.46,1.95,2.17
2.077,-0.54,1.15,1.34,1.85
2.097,-0.56,1.64,-0.86,1.94
2.117,-1.46,0.86,-2.37,2.91
2.137,-1.8,-0.05,-0.69,1.93
2.157,-0.1,0.9,3.06,3.19
2.177,2.4,0.65,2.38,3.44
2.196,3.81,0.28,1.21,4.0
2.216,3.64,-0.18,0.16,3.65
2.236,0.66,-0.04,-0.86,1.08
2.256,-2.98,0.61,-0.79,3.14
2.276,-5.17,0.95,-0.06,5.26
2.296,-4.22,1.32,1.43,4.64
2.316,-1.39,1.46,1.03,2.27
2.336,0.43,1.01,-0.31,1.14
2.356,1.03,0.77,-1.49,1.97
2.376,1.04,0.9,-2.13,2.53
2.396,1.08,0.85,-1.85,2.3
2.416,0.63,0.78,-1.05,1.45
2.436,-0.0,0.56,-0.45,0.72
2.456,-0.22,-0.02,-0.58,0.62
2.476,0.04,-0.27,-1.45,1.48
2.496,0.81,-0.66,-2.22,2.46
2.516,1.84,-0.43,-2.93,3.49
2.536,2.14,-0.05,-1.77,2.78
2.556,0.29,0.29,-0.77,0.87
2.576,-1.58,0.2,-1.07,1.92
2.596,-2.05,0.13,-1.37,2.47
2.616,-0.02,0.55,-1.16,1.29
2.636,1.95,0.64,-1.32,2.44
2.656,3.02,0.28,-1.05,3.21
2.676,3.0,-0.0,-0.83,3.12
2.696,1.63,0.29,-0.75,1.81
2.716,-0.15,0.3,-0.78,0.85
2.736,-1.36,-0.2,-0.58,1.49
2.756,-1.44,-0.95,-0.33,1.76
2.775,-0.68,-1.59,-0.37,1.76
2.796,0.09,-2.2,-0.57,2.27
2.816,0.63,-2.71,-0.54,2.83
2.835,0.57,-3.03,-0.49,3.12
2.855,0.25,-3.07,-0.43,3.11
2.875,-0.15,-2.14,-0.37,2.17
2.895,-0.35,-0.83,-0.64,1.11
2.915,-0.37,-0.02,-0.32,0.49
2.935,-0.08,0.2,0.54,0.58
2.955,-0.18,0.55,0.64,0.87
2.975,-0.05,0.83,0.09,0.84
2.995,0.34,0.46,-0.13,0.59
3.015,0.27,0.06,-0.26,0.38
3.035,-0.25,-0.13,-0.65,0.7
3.055,-0.48,-0.2,-0.45,0.69
3.075,-0.59,-0.21,-0.3,0.69
3.095,-0.68,-0.35,-0.16,0.78
3.115,-0.57,-0.51,-0.04,0.76
3.135,-0.74,-0.13,0.02,0.75
3.155,-0.31,0.6,0.15,0.69
3.175,0.27,0.82,0.36,0.94
3.195,0.54,0.5,0.33,0.81
3.215,0.49,0.19,0.11,0.53
3.235,0.09,-0.01,-0.08,0.12
3.255,-0.49,-0.16,0.3,0.59
3.275,-0.55,-0.22,0.63,0.86
3.295,-0.18,-0.3,0.53,0.64
3.315,0.12,-0.51,0.46,0.7
3.335,0.32,-0.8,0.45,0.97
3.355,0.34,-1.12,0.3,1.21
3.375,0.04,-1.27,0.22,1.29
3.395,-0.0,-1.27,0.34,1.32
3.415,-0.41,-1.28,0.55,1.46
3.435,-0.21,-1.22,0.76,1.45
3.454,-0.15,-0.97,0.89,1.33
3.474,0.01,-0.27,0.78,0.83
