time,ax,ay,az,atotal
1.937,-0.44,0.44,-0.8,1.01
1.957,-0.35,0.77,-0.65,1.07
1.977,-0.1,0.82,-0.57,1.0
1.997,-0.04,1.0,-0.71,1.22
2.017,0.4,1.05,-0.71,1.34
2.037,0.75,1.44,-1.24,2.05
2.057,0.93,2.04,-1.88,2.93
2.077,0.82,1.87,-1.2,2.37
2.097,0.35,1.32,-1.07,1.74
2.117,0.08,1.27,-1.13,1.7
2.137,-0.01,1.28,-1.59,2.04
2.157,0.08,1.49,-1.94,2.44
2.177,0.37,1.61,-2.69,3.16
2.197,0.51,1.05,-2.94,3.16
2.217,0.67,0.27,-2.23,2.34
2.237,0.8,-0.23,-1.43,1.65
2.257,0.57,-0.13,-1.14,1.28
2.276,0.46,-0.21,-1.19,1.29
2.296,0.24,0.02,-1.62,1.63
2.316,-0.01,-0.06,-1.68,1.68
2.336,-0.22,-0.22,-1.1,1.14
2.356,-0.26,-0.27,-0.8,0.89
2.376,-0.31,-0.24,-0.84,0.93
2.396,-0.14,-0.18,-0.87,0.9
2.416,0.15,0.03,-0.75,0.76
2.436,0.22,0.2,-0.65,0.72
2.456,0.35,0.07,-0.37,0.51
2.476,0.37,-0.03,0.01,0.37
2.496,0.33,-0.06,0.08,0.34
2.516,0.3,-0.17,-0.39,0.52
2.536,0.19,-0.39,-0.37,0.57
2.556,0.15,-0.48,-0.29,0.58
2.576,0.04,-0.58,-0.37,0.69
2.596,0.05,-0.66,-0.34,0.75
2.616,0.06,-0.56,-0.18,0.59
2.636,0.1,-0.41,-0.23,0.48
2.656,0.15,-0.39,-0.08,0.43
2.676,0.08,-0.48,0.04,0.49
2.696,-0.05,-0.55,-0.15,0.57
2.716,0.04,-0.46,-0.26,0.53
2.736,-0.09,-0.47,-0.01,0.48
2.756,-0.15,-0.54,0.28,0.63
2.776,-0.12,-0.65,0.15,0.68
2.796,-0.11,-0.64,-0.0,0.65
2.816,-0.3,-0.65,0.32,0.78
2.836,-0.2,-0.74,0.77,1.09
2.856,-0.1,-0.61,0.74,0.96
2.875,0.03,-0.35,0.31,0.47
2.895,0.09,-0.43,0.11,0.46
2.916,0.09,-0.32,0.59,0.68
2.935,0.0,-0.0,1.09,1.09
2.955,-0.13,0.16,0.98,1.0
2.975,-0.31,0.42,1.27,1.37
2.995,-0.1,0.61,0.98,1.15
3.015,0.02,0.88,1.02,1.35
3.035,0.19,0.57,0.87,1.06
3.055,0.2,0.45,0.92,1.04
3.075,0.4,0.25,0.7,0.84
3.095,0.43,0.02,0.9,1.0
3.115,0.4,0.17,0.65,0.78
3.135,0.26,0.27,0.32,0.49
3.155,0.1,0.15,0.32,0.37
3.175,-0.15,-0.07,0.27,0.32
3.195,-0.18,-0.07,0.31,0.36
3.215,-0.13,0.29,0.13,0.35
3.235,-0.1,0.49,-0.2,0.54
3.255,-0.1,0.83,-0.29,0.89
3.275,0.07,1.1,0.01,1.11
3.295,0.03,1.25,0.06,1.25
3.315,-0.03,1.32,0.09,1.33
3.335,-0.06,1.29,-0.06,1.29
3.355,-0.19,1.39,0.18,1.41
3.375,-0.2,1.37,0.24,1.41
3.395,-0.29,1.31,-0.14,1.35
3.415,-0.34,1.18,-0.44,1.3
3.435,-0.37,1.04,-0.78,1.35
3.455,-0.3,0.34,-0.74,0.87
3.475,-0.33,-0.12,-0.68,0.77
3.495,-0.39,-0.24,-0.85,0.97
3.515,-0.41,-0.36,-0.99,1.13
