time,ax,ay,az,atotal
1.637,2.46,-9.66,-2.47,10.27
1.657,2.04,-9.72,-2.74,10.3
1.677,0.68,-9.45,-2.76,9.86
1.697,-0.18,-9.29,-1.76,9.46
1.717,0.11,-9.01,-0.85,9.05
1.737,0.34,-7.62,-1.05,7.7
1.757,0.17,-3.54,-2.02,4.08
1.777,-1.3,5.05,1.1,5.33
1.797,-6.2,16.19,4.83,17.99
1.817,-4.77,14.58,5.61,16.34
1.837,-0.79,22.93,-1.72,23.01
1.858,-5.17,24.27,-2.1,24.91
1.877,-0.98,25.61,0.44,25.63
1.897,6.7,19.9,3.42,21.28
1.917,0.64,12.28,2.64,12.58
1.937,-1.84,3.97,0.24,4.39
1.957,0.41,-1.41,-0.09,1.47
1.977,0.31,-5.54,0.04,5.55
1.997,-0.59,-8.48,-1.21,8.58
2.017,-0.57,-10.65,-1.97,10.85
2.037,0.04,-12.84,-2.34,13.05
2.057,0.8,-13.42,-2.24,13.63
2.077,0.73,-13.05,-2.17,13.25
2.097,0.5,-11.78,-2.41,12.03
2.117,0.55,-10.42,-2.17,10.66
2.137,0.18,-10.08,-1.31,10.16
2.157,0.26,-10.01,-1.4,10.11
2.177,-0.69,-9.56,-2.09,9.81
2.196,-0.27,-9.13,-1.87,9.32
2.216,0.86,-8.64,-0.78,8.71
2.236,0.78,-7.52,-0.16,7.56
2.256,0.43,-4.39,-1.44,4.64
2.276,0.33,1.14,-0.75,1.41
2.296,-1.4,8.69,1.21,8.88
2.317,-3.79,11.88,3.89,13.07
2.336,-1.81,16.14,2.62,16.45
2.357,-4.17,24.48,0.43,24.84
2.377,0.75,28.09,0.56,28.1
2.397,3.04,23.9,4.89,24.58
2.416,0.54,18.41,5.03,19.09
2.436,-1.6,11.44,1.56,11.65
2.456,-0.32,4.91,-0.07,4.92
2.476,-0.15,-0.22,0.12,0.29
2.496,-0.5,-5.15,-1.09,5.29
2.516,-0.29,-8.93,-2.48,9.27
2.536,0.13,-11.82,-2.67,12.12
2.556,1.09,-13.85,-2.29,14.08
2.576,2.05,-13.79,-2.46,14.15
2.596,1.23,-12.76,-2.86,13.13
2.616,-0.38,-11.13,-2.72,11.46
2.636,0.32,-10.65,-1.93,10.83
2.656,1.68,-10.86,-2.0,11.17
2.676,1.19,-10.18,-2.74,10.61
2.696,-0.01,-9.45,-2.19,9.7
2.716,-0.77,-8.9,-1.32,9.03
2.736,-0.08,-8.81,0.02,8.81
2.756,0.04,-7.87,0.32,7.87
2.776,-0.33,-4.77,-1.77,5.1
2.796,-1.06,1.21,-1.55,2.23
2.815,-1.91,9.77,0.79,9.98
2.836,-3.95,15.08,4.77,16.3
2.856,0.55,17.56,3.86,17.98
2.876,-2.62,26.9,-2.39,27.14
2.896,1.64,26.29,-2.04,26.42
2.916,1.02,23.35,4.67,23.83
2.936,-0.65,18.59,4.15,19.06
2.955,-1.48,10.64,0.92,10.78
2.975,-0.14,3.99,-0.82,4.08
2.995,0.28,-1.13,-0.56,1.29
3.015,-0.25,-5.68,-0.67,5.72
3.035,0.31,-8.92,-1.24,9.01
3.055,1.14,-11.71,-1.73,11.89
3.075,1.71,-13.43,-2.15,13.71
3.095,0.84,-13.62,-2.32,13.84
3.115,-0.2,-12.29,-2.67,12.58
3.135,-0.65,-10.9,-2.46,11.19
3.155,0.36,-10.6,-1.13,10.67
3.175,1.43,-10.97,-1.73,11.19
3.195,1.43,-10.41,-2.5,10.8
3.215,0.17,-9.55,-2.28,9.82
3.235,-0.77,-8.89,-1.08,8.99
3.255,-0.39,-8.86,-0.06,8.87
3.275,0.05,-8.1,0.59,8.12
3.295,-0.33,-5.96,-0.32,5.98
3.315,-1.05,-1.35,-1.7,2.41
3.335,-1.04,5.49,-0.32,5.6
3.355,-3.06,12.83,1.34,13.25
3.375,0.14,12.67,4.51,13.45
3.395,1.17,23.75,0.86,23.8
3.415,-3.09,28.86,-2.98,29.18
3.435,2.38,26.05,0.46,26.16
3.455,1.29,22.32,4.77,22.86
3.475,-0.61,15.4,3.69,15.85
3.494,-2.95,7.48,0.17,8.04
3.514,-1.84,1.45,-1.4,2.73
3.534,-0.25,-3.26,-1.4,3.55
3.554,-0.41,-7.66,-1.53,7.82
3.574,-0.62,-11.12,-1.58,11.25
3.594,-0.34,-13.57,-1.2,13.63
3.614,0.81,-14.95,-1.32,15.03
3.634,1.91,-14.56,-2.61,14.92
3.654,1.57,-11.75,-3.5,12.36
3.674,-0.44,-9.81,-1.11,9.88
3.694,-0.78,-8.78,-0.08,8.82
3.714,0.47,-9.6,-1.88,9.8
3.734,0.7,-10.06,-2.73,10.45
3.754,-0.0,-9.74,-2.06,9.95
3.774,-0.37,-9.25,-0.85,9.3
3.794,0.07,-8.82,0.13,8.82
3.814,0.24,-8.31,0.36,8.32
3.834,0.01,-6.1,-1.13,6.2
3.854,-0.0,-1.45,-2.01,2.48
3.874,-0.65,6.04,-0.62,6.11
3.894,-2.72,15.69,3.8,16.37
3.914,-2.44,18.16,7.01,19.62
3.934,-0.85,27.4,0.61,27.42
3.954,-0.66,29.91,-2.82,30.05
3.974,4.13,23.21,0.99,23.6
3.994,0.23,20.92,5.39,21.6
4.014,-1.67,12.94,2.6,13.31
4.034,-3.01,5.33,0.33,6.13
4.054,-1.81,-0.47,-0.23,1.88
4.074,-0.64,-5.85,-0.82,5.95
4.094,0.83,-9.72,-1.93,9.94
4.114,1.21,-12.49,-2.04,12.72
4.134,2.67,-13.92,-2.14,14.33
4.153,3.37,-12.38,-1.62,12.94
4.173,1.77,-10.74,-1.36,10.97
4.193,0.92,-10.54,-1.54,10.69
4.213,1.23,-11.13,-1.35,11.28
4.233,1.99,-11.34,-1.99,11.68
4.253,1.83,-11.11,-3.07,11.67
4.273,1.4,-9.94,-2.5,10.35
4.293,0.44,-9.15,-0.82,9.2
4.313,-0.13,-9.35,0.16,9.35
4.333,-0.56,-8.48,1.74,8.68
4.353,-0.75,-7.22,1.68,7.45
4.373,-0.95,-4.52,-1.91,5.0
4.393,-1.25,0.32,-3.36,3.6
4.413,-2.06,5.76,-0.25,6.12
4.433,-5.87,14.66,6.1,16.93
4.453,-1.2,21.75,3.27,22.03
4.473,1.77,27.96,1.23,28.05
4.493,-1.51,26.17,-0.33,26.22
4.513,2.89,24.07,2.93,24.42
4.533,-1.22,19.39,5.47,20.18
4.553,-3.44,12.05,2.97,12.88
4.573,-2.28,5.14,0.35,5.64
4.593,-0.33,0.31,0.16,0.48
4.613,0.72,-3.58,-1.77,4.06
4.633,1.28,-7.32,-2.53,7.85
4.653,1.92,-9.88,-1.55,10.18
4.673,1.68,-12.65,-2.13,12.94
4.693,1.9,-12.93,-2.78,13.36
