time,ax,ay,az,atotal
1.917,0.21,-1.53,-0.15,1.55
1.937,0.33,10.64,0.76,10.67
1.957,0.92,21.36,-0.28,21.38
1.977,-0.64,12.16,-4.4,12.95
1.997,-7.95,13.17,3.32,15.74
2.017,-9.19,17.24,9.53,21.74
2.037,-3.0,17.59,6.99,19.16
2.056,3.11,17.27,3.94,17.98
2.077,4.01,14.21,-1.07,14.81
2.097,1.11,10.29,-0.43,10.36
2.116,-1.51,7.13,0.29,7.29
2.136,-1.96,3.58,-1.6,4.38
2.156,-0.41,-1.06,-2.98,3.19
2.176,1.29,-5.39,-2.96,6.29
2.196,2.22,-9.1,-2.33,9.65
2.216,2.32,-12.98,-1.97,13.33
2.236,0.85,-15.98,-2.99,16.28
2.256,-0.64,-15.72,-3.12,16.04
2.276,-0.84,-12.82,-2.69,13.12
2.296,-0.2,-9.59,-1.95,9.79
2.316,0.43,-7.28,-1.15,7.38
2.336,0.54,-6.27,-0.77,6.34
2.356,0.48,-6.84,-0.75,6.9
2.376,0.58,-8.56,-0.62,8.6
2.396,0.65,-10.05,-0.98,10.12
2.416,0.74,-10.43,-1.43,10.56
2.436,1.44,-9.55,-1.22,9.74
2.456,1.51,-5.64,-0.19,5.84
2.476,1.2,4.28,1.28,4.63
2.496,0.39,20.41,-0.17,20.41
2.516,-3.61,27.19,-1.06,27.45
2.536,-3.85,13.81,0.17,14.33
2.556,1.46,16.15,6.87,17.61
2.576,3.24,21.97,12.26,25.37
2.596,2.46,17.0,6.61,18.4
2.616,0.0,11.6,-0.75,11.63
2.636,-3.26,9.11,-3.39,10.25
2.656,-3.18,5.1,-1.93,6.31
2.676,-1.54,0.5,-1.1,1.96
2.696,0.71,-3.32,-1.84,3.86
2.715,2.07,-6.9,-2.28,7.55
2.735,3.0,-10.74,-1.71,11.28
2.755,2.77,-14.35,-1.83,14.73
2.775,1.1,-15.81,-1.67,15.94
2.795,-0.56,-13.83,-0.9,13.87
2.815,-0.95,-10.42,-0.83,10.5
2.835,-0.84,-7.96,-1.06,8.07
2.855,-0.55,-6.87,-1.32,7.02
2.875,0.05,-7.27,-1.36,7.4
2.895,0.88,-8.82,-1.0,8.92
2.915,1.24,-10.34,-0.73,10.44
2.935,1.1,-11.07,-0.81,11.15
2.955,0.13,-10.61,-1.01,10.66
2.975,-0.32,-8.31,-0.72,8.35
2.995,0.16,-4.0,0.7,4.07
3.015,-0.71,5.98,0.46,6.04
3.035,-1.03,23.07,-1.96,23.18
3.055,0.47,19.41,-5.31,20.13
3.075,-2.02,13.65,0.52,13.81
3.095,-5.04,20.52,6.77,22.19
3.115,-2.98,18.41,11.34,21.82
3.135,-0.25,17.59,4.35,18.12
3.155,2.3,13.66,-2.13,14.01
3.175,1.96,9.97,-3.53,10.75
3.195,-0.81,7.9,0.31,7.95
3.215,-1.81,4.78,-0.03,5.11
3.235,-1.8,0.39,-1.8,2.58
3.254,-0.45,-4.52,-2.55,5.2
3.274,0.88,-8.64,-2.58,9.06
3.294,1.77,-12.51,-2.08,12.8
3.314,1.84,-16.11,-1.76,16.31
3.334,1.13,-16.47,-1.96,16.63
3.354,0.75,-12.95,-1.93,13.11
3.374,0.9,-9.43,-1.63,9.61
3.394,0.78,-7.37,-1.3,7.52
3.414,0.52,-6.81,-1.19,6.93
3.434,0.58,-7.6,-1.32,7.73
3.454,0.59,-9.15,-0.92,9.22
3.474,0.52,-10.49,-0.36,10.51
3.494,0.3,-10.66,-0.14,10.67
3.514,0.45,-9.05,-0.73,9.09
3.534,0.91,-5.51,-0.82,5.65
3.554,0.11,1.29,-1.04,1.66
3.574,-0.5,12.84,-0.99,12.89
3.594,-1.99,18.09,-1.5,18.26
3.614,-2.67,19.04,-0.25,19.22
3.634,-0.33,18.67,4.16,19.13
3.654,1.12,19.98,6.68,21.1
3.674,-0.15,19.12,5.43,19.88
3.694,-2.32,16.45,0.4,16.62
3.714,-3.77,10.9,-0.87,11.57
3.734,-2.57,6.83,-0.87,7.35
3.754,-0.59,3.27,-1.74,3.75
3.774,0.92,-0.76,-2.42,2.7
3.793,1.86,-4.82,-2.24,5.63
3.813,2.85,-8.26,-1.94,8.95
3.833,2.67,-11.83,-1.33,12.2
3.853,1.19,-15.03,-1.64,15.17
3.873,-0.37,-15.75,-1.79,15.85
3.894,-1.03,-13.24,-1.49,13.36
3.913,-0.76,-10.05,-1.41,10.17
3.933,-0.31,-7.99,-1.25,8.09
3.953,0.33,-7.29,-1.04,7.37
3.973,1.07,-7.8,-0.8,7.91
3.993,1.7,-8.97,-0.47,9.15
4.009,1.9,-10.09,-0.05,10.27
4.029,1.48,-10.39,0.09,10.5
4.049,0.8,-9.41,0.01,9.45
4.069,0.62,-6.57,0.07,6.59
4.089,-1.01,0.37,-0.29,1.11
4.109,-3.26,16.64,-3.54,17.32
4.129,-4.26,26.52,-3.4,27.07
4.149,-1.59,15.11,0.29,15.2
4.169,0.56,23.4,5.32,24.01
4.189,2.52,19.23,11.76,22.68
4.209,0.72,17.27,5.15,18.03
4.229,-0.96,13.9,-3.55,14.38
