time,ax,ay,az,atotal
2.047,-0.37,-1.72,-0.12,1.76
2.057,-0.16,-1.5,-0.16,1.52
2.067,-0.09,-1.25,0.09,1.25
2.077,0.33,-1.4,-0.47,1.51
2.087,0.26,-1.28,-0.46,1.38
2.097,0.19,-1.22,-0.33,1.28
2.107,-0.04,-1.08,0.07,1.08
2.117,-0.37,-0.99,0.45,1.14
2.127,-0.66,-0.92,0.73,1.34
2.137,-0.74,-0.85,0.88,1.43
2.147,-0.54,-0.73,0.96,1.32
2.157,-0.22,-0.63,0.96,1.17
2.167,0.07,-0.58,0.94,1.1
2.177,0.33,-0.51,0.94,1.12
2.187,0.52,-0.45,0.91,1.14
2.197,0.63,-0.38,0.83,1.11
2.207,0.54,-0.26,0.85,1.04
2.217,0.62,-0.15,0.87,1.08
2.227,0.64,0.09,1.02,1.2
2.237,0.28,0.35,1.21,1.29
2.247,0.16,0.51,1.29,1.4
2.257,-0.15,0.72,1.41,1.59
2.267,-0.59,0.78,1.53,1.82
2.277,-0.81,0.77,1.64,1.99
2.287,-1.04,0.72,1.8,2.2
2.297,-1.19,0.64,1.91,2.34
2.306,-1.31,0.59,2.08,2.53
2.316,-1.5,0.58,2.34,2.84
2.326,-1.76,1.0,2.63,3.32
2.336,-1.63,2.3,2.56,3.8
2.347,-1.06,3.64,1.64,4.13
2.357,-0.94,4.59,0.24,4.69
2.366,-1.04,4.86,-0.87,5.04
2.376,-0.92,4.08,-1.66,4.49
2.386,-0.76,2.91,-1.43,3.33
2.396,-0.52,1.77,-1.3,2.26
2.406,-0.51,1.08,-1.13,1.65
2.416,-0.52,0.57,-1.16,1.39
2.426,-0.7,-0.07,-1.0,1.22
2.436,-0.64,-0.93,-0.94,1.47
2.446,-0.32,-1.91,-1.0,2.18
2.456,-0.1,-2.64,-1.13,2.87
2.466,-0.12,-3.02,-1.13,3.23
2.476,0.22,-3.13,-1.32,3.41
2.486,0.57,-2.75,-1.55,3.21
2.496,1.18,-1.78,-1.91,2.86
2.506,1.95,-0.48,-2.21,2.99
2.516,2.47,0.56,-2.32,3.44
2.526,1.86,1.18,-2.0,2.98
2.536,0.29,1.26,-1.33,1.85
2.546,-1.05,0.99,-0.82,1.66
2.556,-1.84,0.69,-0.5,2.03
2.566,-2.05,0.47,-0.49,2.15
2.576,-1.71,0.39,-0.7,1.89
2.586,-0.87,0.32,-1.02,1.38
2.596,0.24,0.23,-1.22,1.27
2.606,1.45,0.12,-1.23,1.91
2.616,2.5,-0.09,-1.08,2.73
2.626,3.35,-0.42,-0.82,3.47
2.636,3.64,-0.76,-0.54,3.76
2.646,3.19,-1.11,-0.45,3.41
2.656,2.09,-1.42,-0.49,2.57
2.666,0.91,-1.54,-0.54,1.87
2.676,-0.09,-1.48,-0.62,1.61
2.686,-0.85,-1.31,-0.73,1.72
2.696,-1.38,-1.13,-0.79,1.95
2.706,-1.66,-1.0,-0.73,2.07
2.716,-1.44,-0.97,-0.44,1.79
2.726,-0.87,-1.03,-0.17,1.36
2.736,-0.15,-1.06,0.0,1.07
2.746,0.58,-1.04,0.03,1.19
2.756,1.19,-0.99,-0.12,1.55
2.766,1.69,-0.9,-0.36,1.95
2.776,1.92,-0.81,-0.52,2.14
2.786,1.83,-0.79,-0.61,2.08
2.796,1.38,-0.76,-0.53,1.67
2.806,0.79,-0.68,-0.28,1.08
2.816,0.16,-0.6,0.07,0.62
2.826,-0.42,-0.5,0.48,0.81
2.836,-0.99,-0.46,0.78,1.34
2.846,-1.45,-0.37,0.98,1.79
2.856,-1.69,-0.37,0.93,1.96
2.866,-1.87,-0.41,0.65,2.02
2.876,-1.69,-0.47,0.46,1.81
2.886,-0.91,-0.6,0.43,1.18
2.896,-0.23,-0.68,0.18,0.75
2.906,0.61,-0.59,0.24,0.88
2.916,1.25,-0.41,0.33,1.36
2.926,1.79,-0.18,0.65,1.92
2.936,2.28,-0.17,1.09,2.53
2.946,2.17,-0.22,1.32,2.55
2.956,1.9,-0.24,1.75,2.59
2.966,1.62,-0.14,1.92,2.51
2.976,1.29,0.08,1.86,2.27
2.986,0.89,0.35,1.58,1.85
2.996,0.42,0.63,1.2,1.42
3.005,0.02,0.93,0.91,1.3
3.015,-0.17,1.21,0.89,1.51
3.026,-0.1,1.36,1.11,1.75
3.035,0.14,1.37,1.44,2.0
3.046,0.42,1.32,1.84,2.3
3.056,0.69,1.33,2.19,2.66
3.065,0.94,1.51,2.48,3.05
3.076,1.18,2.15,2.52,3.52
3.085,1.45,3.29,2.32,4.28
3.095,1.64,4.39,2.1,5.14
3.105,1.86,4.82,2.15,5.59
3.115,1.43,4.22,1.64,4.75
3.125,1.35,3.39,1.26,3.86
3.135,1.34,2.79,0.68,3.17
3.145,1.46,2.41,0.08,2.82
3.155,1.87,1.75,-0.44,2.6
3.165,2.14,0.54,-0.87,2.38
3.175,1.91,-0.9,-1.1,2.38
3.185,1.15,-2.35,-1.07,2.83
3.195,0.23,-3.56,-1.02,3.71
3.205,-0.39,-4.27,-1.12,4.43
3.215,-0.67,-4.39,-1.49,4.68
3.225,-1.06,-3.97,-2.2,4.66
3.235,-1.79,-3.13,-3.05,4.72
3.245,-2.69,-2.08,-3.7,5.02
3.255,-3.33,-1.04,-3.52,4.96
3.265,-4.16,-0.41,-2.87,5.08
3.275,-3.71,0.72,-1.2,3.97
3.285,-1.8,1.99,0.62,2.76
3.295,0.14,2.79,1.76,3.3
3.305,1.47,2.96,1.54,3.65
3.315,2.05,2.73,0.11,3.42
3.325,2.23,2.44,-1.59,3.66
3.335,2.04,2.01,-2.95,4.11
3.345,1.47,1.39,-3.36,3.92
3.355,0.83,0.73,-2.75,2.97
3.365,0.3,0.14,-1.4,1.44
3.375,-0.11,-0.45,0.1,0.47
3.385,-0.38,-0.99,1.15,1.57
3.395,-0.49,-1.44,1.42,2.08
3.405,-0.34,-1.73,1.09,2.07
3.415,-0.01,-1.79,0.52,1.86
3.425,0.34,-1.77,-0.07,1.8
3.435,0.76,-1.77,-0.65,2.03
3.445,1.05,-1.8,-1.09,2.35
3.455,1.07,-1.89,-1.4,2.58
3.465,0.73,-1.95,-1.42,2.52
3.475,0.15,-2.01,-1.18,2.33
3.485,-0.48,-2.06,-0.79,2.26
3.495,-1.14,-2.1,-0.33,2.41
3.505,-1.64,-2.11,0.16,2.67
3.515,-1.97,-2.07,0.58,2.91
3.525,-1.92,-1.9,0.73,2.8
3.535,-1.54,-1.62,0.68,2.34
3.544,-1.04,-1.31,0.5,1.74
3.555,-0.64,-1.05,0.38,1.28
3.565,-0.34,-0.87,0.38,1.01
3.575,-0.01,-0.92,0.46,1.03
3.585,0.41,-1.1,0.55,1.3
3.595,0.87,-1.33,0.59,1.7
3.605,1.34,-1.5,0.66,2.11
3.615,1.7,-1.44,0.76,2.35
3.625,1.66,-1.22,0.95,2.26
3.635,1.25,-0.95,1.1,1.92
3.645,0.74,-0.61,1.21,1.54
3.655,0.14,-0.22,1.33,1.35
3.665,-0.48,0.18,1.33,1.42
3.674,-0.97,0.61,1.18,1.64
3.685,-1.16,1.08,0.98,1.86
3.695,-1.12,1.6,0.86,2.14
3.704,-0.93,2.19,1.04,2.59
3.715,-0.58,2.67,1.45,3.09
3.724,-0.23,2.93,1.95,3.52
3.735,0.06,2.91,2.3,3.71
3.744,0.12,2.67,2.51,3.67
3.754,-0.07,2.33,2.8,3.64
3.765,-0.45,1.9,3.27,3.81
3.774,-0.81,1.52,3.84,4.21
3.784,-1.14,1.45,4.28,4.66
3.794,-1.4,2.31,4.2,4.99
3.804,-1.11,4.12,3.15,5.3
3.815,-0.63,5.78,1.47,6.0
