time,ax,ay,az,atotal
1.617,1.27,0.28,-0.83,1.54
1.637,1.62,1.74,-0.22,2.39
1.657,-0.16,2.03,1.01,2.27
1.677,-0.94,1.61,0.97,2.11
1.697,-0.22,0.9,0.31,0.98
1.717,0.48,-0.2,-0.06,0.53
1.737,0.22,-1.0,-0.06,1.03
1.757,-0.78,-0.95,-0.21,1.25
1.777,-1.09,-0.99,-0.51,1.56
1.797,-0.72,-1.01,-0.39,1.3
1.817,0.04,-0.75,-0.09,0.76
1.837,0.76,-0.49,0.2,0.93
1.857,1.39,-0.6,0.37,1.56
1.877,1.32,-0.69,0.29,1.51
1.897,0.43,-0.67,0.13,0.8
1.917,-0.54,-0.65,0.18,0.87
1.937,-1.15,-0.86,0.4,1.49
1.957,-1.36,-1.27,0.43,1.91
1.977,-0.94,-1.77,0.21,2.01
1.997,-0.2,-2.28,0.11,2.29
2.017,0.41,-2.44,0.4,2.5
2.037,1.01,-2.48,1.08,2.88
2.057,1.06,-2.84,0.9,3.17
2.077,0.89,-2.96,0.34,3.11
2.097,1.28,-2.57,0.13,2.87
2.117,1.91,-2.07,0.19,2.83
2.137,2.45,-1.81,0.7,3.12
2.157,2.74,-2.11,1.33,3.7
2.177,2.4,-2.98,1.14,3.99
2.196,0.62,1.57,0.67,1.81
2.217,-1.39,10.65,-2.84,11.11
2.237,-3.59,6.18,-3.92,8.15
2.256,-4.15,1.21,-2.75,5.12
2.277,-0.89,3.26,-2.77,4.37
2.296,1.66,4.91,-2.37,5.7
2.316,0.44,4.63,-1.37,4.85
2.336,-2.93,3.52,0.77,4.65
2.356,-1.32,2.2,-0.19,2.57
2.376,1.67,1.29,-1.49,2.59
2.396,2.35,-0.75,-1.83,3.07
2.416,1.49,-2.68,-1.7,3.51
2.436,0.29,-3.26,-1.7,3.68
2.456,-1.68,-1.81,-1.18,2.74
2.476,-2.84,-0.65,-0.25,2.92
2.496,-2.64,-0.31,0.13,2.66
2.516,-1.46,-0.29,-0.3,1.52
2.536,-0.01,0.14,-0.62,0.64
2.556,0.77,1.02,-0.62,1.42
2.576,1.26,1.71,-0.25,2.14
2.596,1.52,1.35,-0.1,2.03
2.616,0.79,0.8,-0.06,1.13
2.636,-0.27,0.08,0.18,0.33
2.656,-0.69,-0.73,0.19,1.02
2.676,-0.32,-0.9,-0.01,0.95
2.696,0.28,-0.05,0.13,0.31
2.716,0.28,0.03,0.52,0.59
2.736,-0.47,-0.15,0.46,0.67
2.756,-0.79,-0.33,0.12,0.86
2.776,-0.52,-0.52,0.01,0.74
2.796,0.22,-0.26,0.13,0.36
2.816,1.02,-0.0,0.16,1.04
2.836,1.33,0.09,0.14,1.34
2.856,0.77,-0.1,0.31,0.84
2.876,-0.35,-0.7,0.5,0.93
2.895,-0.88,-1.19,0.55,1.58
2.916,-0.65,-0.77,0.41,1.09
2.935,-0.37,-0.03,-0.06,0.38
2.955,-0.43,0.32,-0.49,0.73
2.975,-0.95,-0.18,-0.64,1.16
2.995,-1.26,-0.87,-0.43,1.59
3.015,-0.61,-1.03,-0.35,1.25
3.035,0.51,-1.63,-0.47,1.77
3.055,0.96,-2.28,-0.4,2.51
3.075,0.98,-2.43,-0.29,2.64
3.095,0.39,-2.22,-0.3,2.28
3.115,-0.56,-1.47,-0.08,1.58
3.135,-1.24,-0.69,0.59,1.54
3.155,-1.38,-0.89,0.99,1.92
3.175,-0.98,-1.64,0.88,2.1
3.195,-0.6,-1.61,0.47,1.78
3.215,-0.81,-0.92,-0.06,1.23
3.235,-1.59,-0.63,0.11,1.71
3.255,-2.31,-1.32,0.81,2.78
3.275,-1.16,0.11,1.69,2.05
3.295,1.31,3.8,0.11,4.02
3.315,2.2,3.18,-2.28,4.48
3.335,1.87,1.9,-1.32,2.97
3.355,1.96,1.97,-1.45,3.13
3.375,1.71,0.97,-2.03,2.83
3.395,0.35,-0.18,-1.14,1.21
3.415,-1.11,-0.14,-0.0,1.12
