time,ax,ay,az,atotal
1.897,-0.88,-0.12,1.31,1.58
1.917,-1.03,0.62,1.39,1.84
1.937,-0.98,1.7,1.19,2.3
1.957,-1.14,2.26,0.22,2.54
1.977,-1.18,2.1,-0.74,2.52
1.997,-1.43,1.85,-0.69,2.44
2.017,-1.41,1.53,-0.23,2.1
2.036,-0.98,0.97,0.17,1.39
2.056,-0.39,0.28,0.01,0.48
2.077,0.11,-0.24,-0.59,0.64
2.096,0.48,-0.53,-1.26,1.44
2.116,0.76,-0.81,-1.68,2.02
2.136,1.28,-1.06,-1.99,2.59
2.156,1.97,-0.86,-2.05,2.98
2.176,2.16,-0.41,-1.69,2.77
2.196,1.71,0.12,-1.09,2.03
2.216,1.02,0.05,-0.78,1.28
2.236,0.25,0.07,-0.83,0.87
2.256,-0.39,0.11,-1.04,1.12
2.276,-0.65,-0.05,-1.14,1.31
2.296,-0.5,-0.19,-1.05,1.18
2.316,0.12,-0.24,-0.81,0.85
2.336,0.76,-0.35,-0.5,0.97
2.356,1.19,-0.44,-0.23,1.29
2.376,1.32,-0.46,-0.17,1.4
2.396,1.07,-0.48,-0.23,1.19
2.416,0.78,-0.44,-0.27,0.93
2.436,0.37,-0.31,-0.38,0.62
2.456,-0.01,-0.17,-0.45,0.48
2.476,-0.13,-0.1,-0.53,0.56
2.496,-0.04,-0.09,-0.53,0.54
2.516,0.18,0.07,-0.54,0.58
2.536,0.46,0.13,-0.41,0.63
2.556,0.54,0.14,-0.14,0.57
2.576,0.35,0.08,0.07,0.37
2.596,0.04,0.01,0.21,0.22
2.615,-0.18,-0.06,0.25,0.31
2.636,-0.17,-0.19,0.16,0.31
2.655,0.09,-0.35,0.04,0.36
2.675,0.38,-0.45,-0.12,0.6
2.695,0.63,-0.6,-0.23,0.9
2.715,0.69,-0.74,-0.31,1.06
2.735,0.68,-0.84,-0.42,1.16
2.755,0.75,-1.0,-0.38,1.31
2.775,0.53,-1.21,-0.34,1.36
2.795,0.19,-1.38,-0.23,1.41
2.815,0.04,-1.47,-0.09,1.47
2.835,0.01,-1.54,0.1,1.54
2.855,0.18,-1.53,0.34,1.58
2.875,0.5,-1.38,0.59,1.58
2.895,0.7,-1.43,0.75,1.76
2.915,0.76,-1.52,0.75,1.86
2.935,0.82,-1.81,0.41,2.03
2.955,0.63,-2.62,-0.06,2.69
2.975,0.3,-3.28,-0.19,3.3
2.995,0.1,-3.26,0.12,3.26
3.015,0.34,-2.99,0.73,3.1
3.035,0.89,-2.62,1.31,3.06
3.055,1.65,-1.82,1.35,2.8
3.075,1.74,1.2,1.01,2.34
3.095,2.43,3.04,-0.31,3.9
3.115,1.32,4.27,-2.53,5.14
3.135,-3.12,11.04,-2.73,11.79
3.155,-7.76,16.78,0.24,18.49
3.175,-2.82,7.08,0.09,7.63
3.195,0.83,3.04,-0.5,3.19
3.214,3.46,-1.55,-1.41,4.04
3.234,3.84,-4.61,-0.68,6.03
3.255,3.85,-4.77,0.01,6.13
3.274,2.61,-2.88,-1.32,4.11
3.294,-0.24,-0.47,-1.65,1.74
3.314,-2.27,-1.74,-1.34,3.16
3.334,-3.91,-1.07,-0.68,4.11
3.354,-4.01,0.75,-0.26,4.09
3.374,-2.93,1.12,-0.74,3.22
3.394,-1.54,1.07,-1.42,2.35
3.414,-0.44,0.93,-1.34,1.69
3.434,0.08,0.73,-0.43,0.85
3.454,0.55,0.43,0.37,0.79
3.474,1.03,0.11,0.35,1.09
3.494,1.06,0.15,-0.27,1.1
3.514,0.66,0.18,-0.62,0.92
3.534,0.17,0.28,-0.81,0.88
3.554,-0.35,0.03,-0.78,0.85
3.574,-0.83,-0.27,-0.8,1.19
3.594,-1.01,-0.2,-0.6,1.19
3.614,-0.72,-0.08,-0.22,0.75
3.634,-0.25,-0.01,-0.02,0.25
3.654,0.04,0.01,-0.13,0.14
3.674,0.14,0.04,-0.29,0.32
3.694,0.01,0.01,-0.23,0.23
3.714,-0.04,-0.07,-0.12,0.15
3.734,-0.11,-0.21,-0.08,0.25
3.754,-0.12,-0.22,0.03,0.26
3.774,0.02,-0.16,0.15,0.22
3.794,0.08,-0.1,0.21,0.25
3.814,0.04,-0.06,0.14,0.16
3.833,0.01,-0.11,0.12,0.16
3.853,-0.09,-0.1,0.1,0.17
3.874,-0.3,-0.15,0.27,0.44
3.893,-0.39,-0.1,0.44,0.6
3.913,-0.37,-0.15,0.59,0.72
3.933,-0.36,-0.38,0.56,0.76
3.953,-0.2,-0.58,0.43,0.75
3.973,-0.08,-0.69,0.49,0.85
3.993,0.01,-0.77,0.49,0.92
4.013,-0.01,-1.08,0.32,1.13
4.029,-0.06,-1.38,0.01,1.38
4.049,-0.13,-1.9,-0.44,1.95
4.069,-0.17,-2.86,-0.73,2.96
4.089,0.12,-3.79,-0.9,3.9
4.109,0.22,-4.33,-0.61,4.38
4.129,-0.11,-4.25,0.19,4.26
4.149,-0.78,-3.3,1.34,3.64
4.169,-1.34,-1.43,2.21,2.96
4.189,-1.88,0.27,2.34,3.01
4.209,-1.62,0.14,1.4,2.14
4.229,-0.85,-0.83,0.41,1.25
4.249,-0.83,-0.62,0.28,1.07
4.269,-0.67,2.3,0.4,2.42
4.289,-1.2,4.35,-0.51,4.54
4.309,-0.34,4.97,-1.69,5.26
4.329,0.19,3.95,-1.63,4.27
4.349,0.39,4.65,-1.15,4.81
4.369,3.66,9.7,-1.09,10.43
4.389,4.72,6.93,-0.22,8.39
4.412,3.04,3.08,-0.08,4.33
4.432,-0.46,0.2,-1.22,1.32
4.452,-3.11,-1.76,-1.11,3.74
4.472,-3.91,-2.05,0.02,4.42
4.492,-2.52,-1.75,0.05,3.07
4.512,-0.22,-1.73,-1.3,2.18
4.532,1.54,-2.27,-2.3,3.58
4.552,2.56,-2.54,-2.29,4.27
4.572,2.66,-1.73,-1.69,3.59
4.592,2.15,-1.08,-1.0,2.61
4.612,1.44,-0.73,-0.75,1.78
4.632,0.64,-0.25,-0.76,1.03
4.652,-0.01,0.4,-0.57,0.7
4.672,-0.41,0.85,-0.18,0.96
4.692,-0.35,1.02,0.09,1.08
4.712,0.1,1.26,0.23,1.29
4.732,0.68,1.18,0.38,1.41
4.752,0.86,0.59,0.36,1.1
4.772,0.35,-0.03,0.02,0.35
4.792,-0.29,-0.49,-0.26,0.63
4.812,-0.62,-0.44,-0.19,0.78
